Title,Start,End,Duration,Image,
In Nest,2012-10-24 20:02:13,2012-10-24 20:03:08,0:0:55,return-pic.jpg,
Out Nest,2012-10-24 20:03:00,2012-10-24 20:03:31,0:0:31,left-pic.jpg,
In Nest,2012-10-24 20:03:15,2012-10-24 20:09:21,0:6:366,return-pic.jpg,
Out Nest,2012-10-24 20:09:14,2012-10-24 20:09:45,0:0:31,left-pic.jpg,
In Nest,2012-10-24 20:11:42,2012-10-24 20:12:50,0:1:68,return-pic.jpg,
Out Nest,2012-10-24 20:12:42,2012-10-24 20:14:49,0:2:127,left-pic.jpg,
In Nest,2012-10-24 20:26:57
,2012-10-24 20:28:00,0:1:63,http://punkoryan.com/phidgetSBC2/2012-10-24-20-26-57.jpg,
Out Nest,2012-10-24 20:27:53,2012-10-24 20:28:41,0:0:48,http://punkoryan.com/phidgetSBC2/2012-10-24-20-27-53.jpg,
In Nest,2012-10-24 20:28:26,2012-10-24 20:56:17,0:27:1671,http://punkoryan.com/phidgetSBC2/2012-10-24-20-28-26.jpg,
Out Nest,2012-10-24 20:56:10,2012-10-24 23:06:09,2:129:7799,http://punkoryan.com/phidgetSBC2/2012-10-24-20-56-10.jpg,
In Nest,2012-10-24 23:05:50,2012-10-24 23:06:23,0:0:33,http://punkoryan.com/phidgetSBC2/2012-10-24-23-05-50.jpg,
Out Nest,2012-10-24 23:06:15,2012-10-24 23:07:35,0:1:80,http://punkoryan.com/phidgetSBC2/2012-10-24-23-06-15.jpg,
In Nest,2012-10-24 23:07:18,2012-10-24 23:07:49,0:0:31,http://punkoryan.com/phidgetSBC2/2012-10-24-23-07-18.jpg,
Out Nest,2012-10-24 23:07:41,2012-10-24 23:08:53,0:1:72,http://punkoryan.com/phidgetSBC2/2012-10-24-23-07-41.jpg,
In Nest,2012-10-24 23:08:38,2012-10-24 23:09:15,0:0:37,http://punkoryan.com/phidgetSBC2/2012-10-24-23-08-38.jpg,
Out Nest,2012-10-24 23:09:05,2012-10-24 23:13:59,0:4:294,http://punkoryan.com/phidgetSBC2/2012-10-24-23-09-05.jpg,
In Nest,2012-10-24 23:13:41,2012-10-24 23:14:18,0:0:37,http://punkoryan.com/phidgetSBC2/2012-10-24-23-13-41.jpg,
Out Nest,2012-10-24 23:14:06,2012-10-24 23:22:37,0:8:511,http://punkoryan.com/phidgetSBC2/2012-10-24-23-14-06.jpg,
In Nest,2012-10-24 23:22:20,2012-10-24 23:22:52,0:0:32,http://punkoryan.com/phidgetSBC2/2012-10-24-23-22-20.jpg,
Out Nest,2012-10-24 23:22:43,2012-10-24 23:28:41,0:5:358,http://punkoryan.com/phidgetSBC2/2012-10-24-23-22-43.jpg,
In Nest,2012-10-24 23:28:24,2012-10-24 23:29:02,0:0:38,http://punkoryan.com/phidgetSBC2/2012-10-24-23-28-24.jpg,
Out Nest,2012-10-24 23:28:53,2012-10-24 23:29:26,0:0:33,http://punkoryan.com/phidgetSBC2/2012-10-24-23-28-53.jpg,
In Nest,2012-10-24 23:55:56
,2012-10-24 23:57:15,0:1:79,http://punkoryan.com/phidgetSBC2/2012-10-24-23-55-56.jpg,
Out Nest,2012-10-24 23:57:06,2012-10-25 00:00:58,0:3:232,http://punkoryan.com/phidgetSBC2/2012-10-24-23-57-06.jpg,
In Nest,2012-10-25 00:00:41,2012-10-25 00:01:13,0:0:32,http://punkoryan.com/phidgetSBC2/2012-10-25-00-00-41.jpg,
Out Nest,2012-10-25 00:01:04,2012-10-25 00:03:20,0:2:136,http://punkoryan.com/phidgetSBC2/2012-10-25-00-01-04.jpg,
In Nest,2012-10-25 00:03:03,2012-10-25 00:03:35,0:0:32,http://punkoryan.com/phidgetSBC2/2012-10-25-00-03-03.jpg,
Out Nest,2012-10-25 00:03:26,2012-10-25 00:05:28,0:2:122,http://punkoryan.com/phidgetSBC2/2012-10-25-00-03-26.jpg,
In Nest,2012-10-25 00:05:12,2012-10-25 00:05:45,0:0:33,http://punkoryan.com/phidgetSBC2/2012-10-25-00-05-12.jpg,
